,Econ,TEU
0,JPN,20522000
1,LKA,4310000
2,HKG,22290000
3,CHN,174393600
4,SGP,33388000
5,MYS,21137500
6,KOR,23445000
7,IND,10632000
8,OAS,14046700
9,PAK,2262000
10,IDN,11718230
11,PHL,5825634
12,BGD,1489351
13,THA,8362500
14,VNM,8452250
15,KHM,312000
16,MMR,567156
17,AFR,14306864
18,EUR,128650979
19,ELT,33438939
20,WLT,7542432
21,MDE,35647693
22,NAM,54447378
23,OCE,11673610
