,Econ,TEU
0,JPN,19727200
1,LKA,4321000
2,HKG,23100000
3,CHN,159337100
4,SGP,32347000
5,MYS,20809800
6,KOR,21516900
7,IND,10041000
8,OAS,13878000
9,PAK,2222000
10,IDN,10713290
11,PHL,5641594
12,BGD,1426651
13,THA,7760800
14,VNM,7587836
15,KHM,306206
16,MMR,474300
17,AFR,13993094
18,EUR,123174792
19,ELT,32982917
20,WLT,7114901
21,MDE,35108623
22,NAM,53446091
23,OCE,11142538
