,Econ,TEU
0,JPN,20741500
1,LKA,4908000
2,HKG,22300000
3,CHN,185136300
4,SGP,34688000
5,MYS,22367900
6,KOR,24814000
7,IND,11319000
8,OAS,15050100
9,PAK,2534600
10,IDN,11636900
11,PHL,6176041
12,BGD,1642951
13,THA,9202200
14,VNM,10009360
15,KHM,424000
16,MMR,716926
17,AFR,14759067
18,EUR,135286679
19,ELT,32981766
20,WLT,7946095
21,MDE,37186307
22,NAM,56699465
23,OCE,11929512
