,From,To,TEU
0,JPN,JPN,0
1,JPN,LKA,12622
2,JPN,HKG,508526
3,JPN,CHN,1679438
4,JPN,SGP,250799
5,JPN,MYS,178900
6,JPN,KOR,651337
7,JPN,IND,112102
8,JPN,OAS,584771
9,JPN,PAK,32627
10,JPN,IDN,192389
11,JPN,PHL,140406
12,JPN,BGD,36052
13,JPN,THA,458584
14,JPN,VNM,271900
15,JPN,KHM,10799
16,JPN,MMR,21234
17,JPN,AFR,117867
18,JPN,EUR,1210441
19,JPN,ELT,231873
20,JPN,WLT,33047
21,JPN,MDE,286396
22,JPN,NAM,135247
23,JPN,OCE,254696
24,LKA,JPN,60438
25,LKA,LKA,0
26,LKA,HKG,38613
27,LKA,CHN,60163
28,LKA,SGP,22729
29,LKA,MYS,11780
30,LKA,KOR,15598
31,LKA,IND,190641
32,LKA,OAS,14046
33,LKA,PAK,27504
34,LKA,IDN,11295
35,LKA,PHL,5291
36,LKA,BGD,25870
37,LKA,THA,8555
38,LKA,VNM,59772
39,LKA,KHM,982
40,LKA,MMR,249
41,LKA,AFR,44604
42,LKA,EUR,974347
43,LKA,ELT,44559
44,LKA,WLT,23706
45,LKA,MDE,328347
46,LKA,NAM,645693
47,LKA,OCE,61150
48,HKG,JPN,312278
49,HKG,LKA,14097
50,HKG,HKG,0
51,HKG,CHN,5195110
52,HKG,SGP,186613
53,HKG,MYS,66739
54,HKG,KOR,155996
55,HKG,IND,193087
56,HKG,OAS,263245
57,HKG,PAK,10236
58,HKG,IDN,73605
59,HKG,PHL,66432
60,HKG,BGD,39899
61,HKG,THA,154657
62,HKG,VNM,428485
63,HKG,KHM,25309
64,HKG,MMR,5618
65,HKG,AFR,44315
66,HKG,EUR,1061157
67,HKG,ELT,64778
68,HKG,WLT,19955
69,HKG,MDE,135335
70,HKG,NAM,1014194
71,HKG,OCE,134091
72,CHN,JPN,4982119
73,CHN,LKA,2406106
74,CHN,HKG,6088667
75,CHN,CHN,0
76,CHN,SGP,11342340
77,CHN,MYS,15989600
78,CHN,KOR,12712561
79,CHN,IND,651173
80,CHN,OAS,5022291
81,CHN,PAK,1010186
82,CHN,IDN,2248111
83,CHN,PHL,2009200
84,CHN,BGD,743565
85,CHN,THA,2989998
86,CHN,VNM,3725093
87,CHN,KHM,142039
88,CHN,MMR,386859
89,CHN,AFR,4442713
90,CHN,EUR,35426874
91,CHN,ELT,4542361
92,CHN,WLT,1418912
93,CHN,MDE,5219938
94,CHN,NAM,29816185
95,CHN,OCE,2985091
96,SGP,JPN,190960
97,SGP,LKA,26880
98,SGP,HKG,171305
99,SGP,CHN,11342340
100,SGP,SGP,0
101,SGP,MYS,175600
102,SGP,KOR,314110
103,SGP,IND,241206
104,SGP,OAS,225855
105,SGP,PAK,36365
106,SGP,IDN,698863
107,SGP,PHL,192769
108,SGP,BGD,98945
109,SGP,THA,385211
110,SGP,VNM,341210
111,SGP,KHM,22578
112,SGP,MMR,53444
113,SGP,AFR,93982
114,SGP,EUR,708328
115,SGP,ELT,152807
116,SGP,WLT,6280
117,SGP,MDE,180097
118,SGP,NAM,426777
119,SGP,OCE,378529
120,MYS,JPN,377710
121,MYS,LKA,25322
122,MYS,HKG,155845
123,MYS,CHN,762581
124,MYS,SGP,681987
125,MYS,MYS,0
126,MYS,KOR,160270
127,MYS,IND,283581
128,MYS,OAS,124067
129,MYS,PAK,63138
130,MYS,IDN,251580
131,MYS,PHL,129310
132,MYS,BGD,54024
133,MYS,THA,302751
134,MYS,VNM,217619
