,From,To,TEU
216,PAK,JPN,9687
217,PAK,LKA,14597
218,PAK,HKG,18885
219,PAK,CHN,83021
220,PAK,SGP,9726
221,PAK,MYS,14863
222,PAK,KOR,44293
223,PAK,IND,26051
224,PAK,OAS,7262
225,PAK,PAK,0
226,PAK,IDN,6413
227,PAK,PHL,11017
228,PAK,BGD,14592
229,PAK,THA,19318
230,PAK,VNM,36267
231,PAK,KHM,926
232,PAK,MMR,1379
233,PAK,AFR,88793
234,PAK,EUR,327498
235,PAK,ELT,9638
236,PAK,WLT,2298
237,PAK,MDE,221505
238,PAK,NAM,100780
239,PAK,OCE,8831
240,IDN,JPN,667334
241,IDN,LKA,15213
242,IDN,HKG,136108
243,IDN,CHN,675304
244,IDN,SGP,461580
245,IDN,MYS,252550
246,IDN,KOR,203749
247,IDN,IND,311704
248,IDN,OAS,128613
249,IDN,PAK,87749
250,IDN,IDN,0
251,IDN,PHL,147425
252,IDN,BGD,63898
253,IDN,THA,199426
254,IDN,VNM,127526
255,IDN,KHM,7998
256,IDN,MMR,23876
257,IDN,AFR,214575
258,IDN,EUR,1056523
259,IDN,ELT,126792
260,IDN,WLT,17984
261,IDN,MDE,373264
262,IDN,NAM,932704
263,IDN,OCE,205241
264,PHL,JPN,911424
265,PHL,LKA,2549
266,PHL,HKG,166097
267,PHL,CHN,380321
268,PHL,SGP,126246
269,PHL,MYS,76147
270,PHL,KOR,142901
271,PHL,IND,21515
272,PHL,OAS,94793
273,PHL,PAK,6230
274,PHL,IDN,59376
275,PHL,PHL,0
276,PHL,BGD,962
277,PHL,THA,131738
278,PHL,VNM,35922
279,PHL,KHM,473
280,PHL,MMR,1797
281,PHL,AFR,31380
282,PHL,EUR,398438
283,PHL,ELT,24227
284,PHL,WLT,3578
285,PHL,MDE,63725
286,PHL,NAM,659745
287,PHL,OCE,66074
288,BGD,JPN,0
289,BGD,LKA,0
290,BGD,HKG,0
291,BGD,CHN,0
292,BGD,SGP,0
293,BGD,MYS,0
294,BGD,KOR,0
295,BGD,IND,0
296,BGD,OAS,0
297,BGD,PAK,0
298,BGD,IDN,0
299,BGD,PHL,0
300,BGD,BGD,0
301,BGD,THA,0
302,BGD,VNM,0
303,BGD,KHM,0
304,BGD,MMR,0
305,BGD,AFR,0
306,BGD,EUR,0
307,BGD,ELT,0
308,BGD,WLT,0
309,BGD,MDE,0
310,BGD,NAM,0
311,BGD,OCE,0
312,THA,JPN,212315
313,THA,LKA,12483
314,THA,HKG,165111
315,THA,CHN,599859
316,THA,SGP,109969
317,THA,MYS,180218
318,THA,KOR,91617
319,THA,IND,94443
320,THA,OAS,67701
321,THA,PAK,22388
322,THA,IDN,181880
323,THA,PHL,98155
324,THA,BGD,24216
325,THA,THA,0
326,THA,VNM,168035
327,THA,KHM,57956
328,THA,MMR,68337
329,THA,AFR,211497
330,THA,EUR,558855
331,THA,ELT,74298
332,THA,WLT,25268
333,THA,MDE,201749
334,THA,NAM,454800
335,THA,OCE,190237
336,VNM,JPN,355444
337,VNM,LKA,3285
338,VNM,HKG,145946
339,VNM,CHN,423030
340,VNM,SGP,72853
341,VNM,MYS,88126
342,VNM,KOR,176535
343,VNM,IND,59850
344,VNM,OAS,77709
345,VNM,PAK,9941
346,VNM,IDN,71221
347,VNM,PHL,72389
348,VNM,BGD,6874
349,VNM,THA,70920
350,VNM,VNM,0
351,VNM,KHM,42238
352,VNM,MMR,8092
353,VNM,AFR,57159
354,VNM,EUR,843954
355,VNM,ELT,71135
356,VNM,WLT,20580
357,VNM,MDE,120818
