,From,To,TEU
0,JPN,JPN,0
1,JPN,LKA,9036
2,JPN,HKG,410056
3,JPN,CHN,1205523
4,JPN,SGP,156310
5,JPN,MYS,110249
6,JPN,KOR,438912
7,JPN,IND,75164
8,JPN,OAS,409334
9,JPN,PAK,15685
10,JPN,IDN,120952
11,JPN,PHL,80585
12,JPN,BGD,22685
13,JPN,THA,299319
14,JPN,VNM,213511
15,JPN,KHM,9086
16,JPN,MMR,12228
17,JPN,AFR,70259
18,JPN,EUR,645416
19,JPN,ELT,87367
20,JPN,WLT,18388
21,JPN,MDE,189500
22,JPN,NAM,974022
23,JPN,OCE,110833
24,LKA,JPN,58104
25,LKA,LKA,0
26,LKA,HKG,27423
27,LKA,CHN,62581
28,LKA,SGP,17387
29,LKA,MYS,8977
30,LKA,KOR,10964
31,LKA,IND,189552
32,LKA,OAS,14301
33,LKA,PAK,24423
34,LKA,IDN,9423
35,LKA,PHL,5988
36,LKA,BGD,15167
37,LKA,THA,8761
38,LKA,VNM,44762
39,LKA,KHM,978
40,LKA,MMR,535
41,LKA,AFR,41233
42,LKA,EUR,687702
43,LKA,ELT,33362
44,LKA,WLT,17421
45,LKA,MDE,241679
46,LKA,NAM,389626
47,LKA,OCE,50052
48,HKG,JPN,265034
49,HKG,LKA,12169
50,HKG,HKG,0
51,HKG,CHN,5004015
52,HKG,SGP,206109
53,HKG,MYS,65052
54,HKG,KOR,132623
55,HKG,IND,154795
56,HKG,OAS,166715
57,HKG,PAK,7699
58,HKG,IDN,63652
59,HKG,PHL,64350
60,HKG,BGD,29152
61,HKG,THA,142113
62,HKG,VNM,548332
63,HKG,KHM,23637
64,HKG,MMR,3864
65,HKG,AFR,40434
66,HKG,EUR,781744
67,HKG,ELT,64984
68,HKG,WLT,15187
69,HKG,MDE,124084
70,HKG,NAM,842215
71,HKG,OCE,120860
72,CHN,JPN,6639880
73,CHN,LKA,2885693
74,CHN,HKG,7342354
75,CHN,CHN,0
76,CHN,SGP,23020654
77,CHN,MYS,16633383
78,CHN,KOR,14703503
79,CHN,IND,3747265
80,CHN,OAS,6047160
81,CHN,PAK,679150
82,CHN,IDN,1508769
83,CHN,PHL,1542216
84,CHN,BGD,504210
85,CHN,THA,2105587
86,CHN,VNM,2330218
87,CHN,KHM,94779
88,CHN,MMR,268173
89,CHN,AFR,4583528
90,CHN,EUR,29256243
91,CHN,ELT,3674712
92,CHN,WLT,1189914
93,CHN,MDE,5245993
94,CHN,NAM,28539867
95,CHN,OCE,2442300
96,SGP,JPN,276267
97,SGP,LKA,22631
98,SGP,HKG,298925
99,SGP,CHN,735421
100,SGP,SGP,0
101,SGP,MYS,545901
102,SGP,KOR,242233
103,SGP,IND,202146
104,SGP,OAS,184194
105,SGP,PAK,24730
106,SGP,IDN,555014
107,SGP,PHL,120735
108,SGP,BGD,34855
109,SGP,THA,277073
110,SGP,VNM,232978
111,SGP,KHM,23286
112,SGP,MMR,35889
113,SGP,AFR,85342
114,SGP,EUR,538650
115,SGP,ELT,140367
116,SGP,WLT,5955
117,SGP,MDE,158241
118,SGP,NAM,341721
119,SGP,OCE,276488
120,MYS,JPN,322107
121,MYS,LKA,18418
122,MYS,HKG,136141
123,MYS,CHN,587857
124,MYS,SGP,613622
125,MYS,MYS,0
126,MYS,KOR,134025
127,MYS,IND,228729
128,MYS,OAS,126680
129,MYS,PAK,39966
130,MYS,IDN,219557
131,MYS,PHL,101210
132,MYS,BGD,34947
133,MYS,THA,259291
134,MYS,VNM,154055
135,MYS,KHM,12248
136,MYS,MMR,23681
137,MYS,AFR,140856
138,MYS,EUR,604352
139,MYS,ELT,56260
140,MYS,WLT,8749
141,MYS,MDE,242124
142,MYS,NAM,430493
143,MYS,OCE,208961
144,KOR,JPN,537939
145,KOR,LKA,6426
146,KOR,HKG,328725
147,KOR,CHN,1715466
148,KOR,SGP,93995
149,KOR,MYS,99281
150,KOR,KOR,0
151,KOR,IND,163881
152,KOR,OAS,180638
153,KOR,PAK,14348
154,KOR,IDN,137595
155,KOR,PHL,93817
156,KOR,BGD,39385
157,KOR,THA,117072
158,KOR,VNM,395999
159,KOR,KHM,15135
160,KOR,MMR,21769
161,KOR,AFR,83959
162,KOR,EUR,760861
163,KOR,ELT,118472
164,KOR,WLT,39503
165,KOR,MDE,263533
166,KOR,NAM,835769
167,KOR,OCE,148414
168,IND,JPN,75812
169,IND,LKA,98510
170,IND,HKG,114492
171,IND,CHN,233655
172,IND,SGP,109755
173,IND,MYS,93845
174,IND,KOR,66066
175,IND,IND,0
176,IND,OAS,24607
177,IND,PAK,30393
178,IND,IDN,46295
179,IND,PHL,26373
180,IND,BGD,90823
181,IND,THA,59390
182,IND,VNM,170757
183,IND,KHM,2376
184,IND,MMR,21924
185,IND,AFR,309620
186,IND,EUR,1049343
187,IND,ELT,91851
188,IND,WLT,28314
189,IND,MDE,660573
190,IND,NAM,673729
191,IND,OCE,47003
192,OAS,JPN,517619
193,OAS,LKA,14215
194,OAS,HKG,502532
195,OAS,CHN,1680537
196,OAS,SGP,134403
197,OAS,MYS,151739
198,OAS,KOR,200467
199,OAS,IND,102600
200,OAS,OAS,0
201,OAS,PAK,13750
202,OAS,IDN,101073
203,OAS,PHL,81791
204,OAS,BGD,34415
205,OAS,THA,173353
206,OAS,VNM,335541
207,OAS,KHM,26338
208,OAS,MMR,9169
209,OAS,AFR,62729
210,OAS,EUR,518807
211,OAS,ELT,86889
212,OAS,WLT,20798
213,OAS,MDE,126801
214,OAS,NAM,803189
215,OAS,OCE,116741
216,PAK,JPN,14411
217,PAK,LKA,24143
218,PAK,HKG,21144
219,PAK,CHN,123961
220,PAK,SGP,13011
221,PAK,MYS,19714
222,PAK,KOR,53762
223,PAK,IND,31729
224,PAK,OAS,8717
225,PAK,PAK,0
226,PAK,IDN,11376
227,PAK,PHL,16075
228,PAK,BGD,21940
229,PAK,THA,27604
230,PAK,VNM,55342
231,PAK,KHM,1356
232,PAK,MMR,1502
233,PAK,AFR,120143
234,PAK,EUR,396119
235,PAK,ELT,13206
236,PAK,WLT,3193
237,PAK,MDE,288391
238,PAK,NAM,158892
239,PAK,OCE,13613
240,IDN,JPN,910614
241,IDN,LKA,23067
242,IDN,HKG,123383
243,IDN,CHN,886436
244,IDN,SGP,509017
245,IDN,MYS,334978
246,IDN,KOR,333667
247,IDN,IND,376459
248,IDN,OAS,193412
249,IDN,PAK,86060
250,IDN,IDN,0
251,IDN,PHL,212440
252,IDN,BGD,66221
253,IDN,THA,256274
254,IDN,VNM,201810
255,IDN,KHM,12871
256,IDN,MMR,34612
257,IDN,AFR,175485
258,IDN,EUR,1256994
259,IDN,ELT,140677
260,IDN,WLT,25605
261,IDN,MDE,437890
262,IDN,NAM,1271628
263,IDN,OCE,272449
264,PHL,JPN,887405
265,PHL,LKA,5532
266,PHL,HKG,202202
267,PHL,CHN,364361
268,PHL,SGP,107920
269,PHL,MYS,103161
270,PHL,KOR,195062
271,PHL,IND,35644
272,PHL,OAS,122157
273,PHL,PAK,11575
274,PHL,IDN,78733
275,PHL,PHL,0
276,PHL,BGD,2702
277,PHL,THA,173369
278,PHL,VNM,74293
279,PHL,KHM,1054
280,PHL,MMR,6429
281,PHL,AFR,96868
282,PHL,EUR,602192
283,PHL,ELT,28450
284,PHL,WLT,6473
285,PHL,MDE,122098
286,PHL,NAM,923181
287,PHL,OCE,100294
288,BGD,JPN,55806
