,From,To,TEU
289,BGD,LKA,4854
290,BGD,HKG,40196
291,BGD,CHN,103797
292,BGD,SGP,24411
293,BGD,MYS,14742
294,BGD,KOR,30923
295,BGD,IND,46827
296,BGD,OAS,11093
297,BGD,PAK,2932
298,BGD,IDN,1686
299,BGD,PHL,3775
300,BGD,BGD,0
301,BGD,THA,4081
302,BGD,VNM,13444
303,BGD,KHM,472
304,BGD,MMR,3748
305,BGD,AFR,15220
306,BGD,EUR,261688
307,BGD,ELT,4865
308,BGD,WLT,1521
309,BGD,MDE,115406
310,BGD,NAM,85733
311,BGD,OCE,7596
312,THA,JPN,389615
313,THA,LKA,12035
314,THA,HKG,204073
315,THA,CHN,870523
316,THA,SGP,112754
317,THA,MYS,199151
318,THA,KOR,95278
319,THA,IND,96061
320,THA,OAS,79689
321,THA,PAK,23367
322,THA,IDN,189142
323,THA,PHL,135136
324,THA,BGD,24289
325,THA,THA,0
326,THA,VNM,208595
327,THA,KHM,67530
328,THA,MMR,81414
329,THA,AFR,302668
330,THA,EUR,528846
331,THA,ELT,61601
332,THA,WLT,21005
333,THA,MDE,208746
334,THA,NAM,510129
335,THA,OCE,212286
336,VNM,JPN,424252
337,VNM,LKA,3812
338,VNM,HKG,182454
339,VNM,CHN,764501
340,VNM,SGP,104923
341,VNM,MYS,123040
342,VNM,KOR,241363
343,VNM,IND,79579
344,VNM,OAS,86276
345,VNM,PAK,21333
346,VNM,IDN,99969
347,VNM,PHL,118799
348,VNM,BGD,9213
349,VNM,THA,99969
350,VNM,VNM,0
351,VNM,KHM,52039
352,VNM,MMR,8966
353,VNM,AFR,92600
354,VNM,EUR,1091059
355,VNM,ELT,79864
356,VNM,WLT,27068
357,VNM,MDE,162530
358,VNM,NAM,1024038
359,VNM,OCE,95319
360,KHM,JPN,5136
361,KHM,LKA,7
362,KHM,HKG,5995
363,KHM,CHN,11553
364,KHM,SGP,2562
365,KHM,MYS,4977
366,KHM,KOR,2334
367,KHM,IND,259
368,KHM,OAS,773
369,KHM,PAK,39
370,KHM,IDN,518
371,KHM,PHL,306
372,KHM,BGD,34
373,KHM,THA,14577
374,KHM,VNM,13227
375,KHM,KHM,0
376,KHM,MMR,24
377,KHM,AFR,618
378,KHM,EUR,22676
379,KHM,ELT,762
380,KHM,WLT,5
381,KHM,MDE,399
382,KHM,NAM,20788
383,KHM,OCE,675
384,MMR,JPN,31318
385,MMR,LKA,0
386,MMR,HKG,8249
387,MMR,CHN,83615
388,MMR,SGP,28714
389,MMR,MYS,9253
390,MMR,KOR,13162
391,MMR,IND,23762
392,MMR,OAS,173
393,MMR,PAK,591
394,MMR,IDN,4841
395,MMR,PHL,236
396,MMR,BGD,902
397,MMR,THA,20831
398,MMR,VNM,3001
399,MMR,KHM,0
400,MMR,MMR,0
401,MMR,AFR,340
402,MMR,EUR,19435
403,MMR,ELT,744
404,MMR,WLT,12
405,MMR,MDE,5662
406,MMR,NAM,9281
407,MMR,OCE,391
408,AFR,JPN,265665
409,AFR,LKA,2498
410,AFR,HKG,127750
411,AFR,CHN,1160354
412,AFR,SGP,110707
413,AFR,MYS,102488
414,AFR,KOR,93796
415,AFR,IND,428079
416,AFR,OAS,50584
417,AFR,PAK,40791
418,AFR,IDN,77488
419,AFR,PHL,10458
420,AFR,BGD,39381
421,AFR,THA,74874
422,AFR,VNM,124311
423,AFR,KHM,456
424,AFR,MMR,511
425,AFR,AFR,0
426,AFR,EUR,2749794
427,AFR,ELT,130797
428,AFR,WLT,0
429,AFR,MDE,473613
430,AFR,NAM,668646
431,AFR,OCE,0
432,EUR,JPN,105701
433,EUR,LKA,9843
434,EUR,HKG,105691
435,EUR,CHN,1394761
436,EUR,SGP,109734
437,EUR,MYS,57031
438,EUR,KOR,241957
439,EUR,IND,257554
440,EUR,OAS,81694
441,EUR,PAK,25026
442,EUR,IDN,52978
443,EUR,PHL,29743
444,EUR,BGD,18067
445,EUR,THA,71829
446,EUR,VNM,63122
447,EUR,KHM,3983
448,EUR,MMR,2421
449,EUR,AFR,346888
450,EUR,EUR,0
451,EUR,ELT,428724
452,EUR,WLT,2341
453,EUR,MDE,1373527
454,EUR,NAM,1434833
455,EUR,OCE,3250
456,ELT,JPN,302440
457,ELT,LKA,4762
458,ELT,HKG,170795
459,ELT,CHN,1847258
460,ELT,SGP,59276
461,ELT,MYS,142834
462,ELT,KOR,220883
463,ELT,IND,199892
464,ELT,OAS,104779
465,ELT,PAK,25557
466,ELT,IDN,114406
467,ELT,PHL,67559
468,ELT,BGD,55296
469,ELT,THA,133656
470,ELT,VNM,197476
471,ELT,KHM,3319
472,ELT,MMR,3059
473,ELT,AFR,216305
474,ELT,EUR,3697417
475,ELT,ELT,0
476,ELT,WLT,0
477,ELT,MDE,853289
478,ELT,NAM,5779663
479,ELT,OCE,0
480,WLT,JPN,753759
481,WLT,LKA,4542
482,WLT,HKG,84624
483,WLT,CHN,3065738
484,WLT,SGP,25443
485,WLT,MYS,46660
486,WLT,KOR,611539
487,WLT,IND,202794
488,WLT,OAS,261555
489,WLT,PAK,5001
490,WLT,IDN,41574
491,WLT,PHL,22231
492,WLT,BGD,555
493,WLT,THA,59886
494,WLT,VNM,157452
495,WLT,KHM,866
496,WLT,MMR,316
497,WLT,AFR,0
498,WLT,EUR,52170
499,WLT,ELT,0
500,WLT,WLT,0
501,WLT,MDE,0
502,WLT,NAM,454511
503,WLT,OCE,161972
504,MDE,JPN,102097
505,MDE,LKA,22798
506,MDE,HKG,100951
507,MDE,CHN,851954
508,MDE,SGP,265172
509,MDE,MYS,154502
510,MDE,KOR,90706
511,MDE,IND,625922
512,MDE,OAS,79997
513,MDE,PAK,152137
514,MDE,IDN,53858
515,MDE,PHL,12130
516,MDE,BGD,65953
517,MDE,THA,82977
518,MDE,VNM,123779
519,MDE,KHM,2175
520,MDE,MMR,12907
521,MDE,AFR,715354
522,MDE,EUR,3680150
523,MDE,ELT,197080
524,MDE,WLT,0
525,MDE,MDE,0
526,MDE,NAM,941683
527,MDE,OCE,0
528,NAM,JPN,809292
529,NAM,LKA,13412
530,NAM,HKG,411318
531,NAM,CHN,2051107
532,NAM,SGP,145922
533,NAM,MYS,75069
534,NAM,KOR,608959
535,NAM,IND,205316
536,NAM,OAS,248642
537,NAM,PAK,32416
538,NAM,IDN,121868
539,NAM,PHL,107447
540,NAM,BGD,29966
541,NAM,THA,134518
542,NAM,VNM,202239
543,NAM,KHM,8361
544,NAM,MMR,2075
545,NAM,AFR,155386
546,NAM,EUR,2414447
547,NAM,ELT,3246344
548,NAM,WLT,32731
549,NAM,MDE,636795
550,NAM,NAM,0
551,NAM,OCE,11827
552,OCE,JPN,701842
553,OCE,LKA,24342
554,OCE,HKG,283864
555,OCE,CHN,3933144
556,OCE,SGP,377216
557,OCE,MYS,210312
558,OCE,KOR,500912
559,OCE,IND,281701
560,OCE,OAS,191238
561,OCE,PAK,38100
562,OCE,IDN,276342
563,OCE,PHL,103526
564,OCE,BGD,48501
565,OCE,THA,230432
566,OCE,VNM,230131
567,OCE,KHM,2983
568,OCE,MMR,6899
569,OCE,AFR,0
570,OCE,EUR,55808
571,OCE,ELT,149
572,OCE,WLT,35807
573,OCE,MDE,120
574,OCE,NAM,35866
575,OCE,OCE,0
