,From,To,TEU
205,OAS,THA,235450
206,OAS,VNM,294942
207,OAS,KHM,18308
208,OAS,MMR,5813
209,OAS,AFR,73288
210,OAS,EUR,638131
211,OAS,ELT,120747
212,OAS,WLT,20695
213,OAS,MDE,131705
214,OAS,NAM,767491
215,OAS,OCE,130601
216,PAK,JPN,8238
217,PAK,LKA,23300
218,PAK,HKG,22993
219,PAK,CHN,80352
220,PAK,SGP,10624
221,PAK,MYS,14587
222,PAK,KOR,49327
223,PAK,IND,31831
224,PAK,OAS,5197
225,PAK,PAK,0
226,PAK,IDN,7574
227,PAK,PHL,13055
228,PAK,BGD,17214
229,PAK,THA,14743
230,PAK,VNM,27388
231,PAK,KHM,1210
232,PAK,MMR,1142
233,PAK,AFR,107416
234,PAK,EUR,327461
235,PAK,ELT,11879
236,PAK,WLT,2569
237,PAK,MDE,250532
238,PAK,NAM,107171
239,PAK,OCE,9739
240,IDN,JPN,852540
241,IDN,LKA,14832
242,IDN,HKG,152762
243,IDN,CHN,983689
244,IDN,SGP,563770
245,IDN,MYS,291546
246,IDN,KOR,251431
247,IDN,IND,307516
248,IDN,OAS,115933
249,IDN,PAK,44588
250,IDN,IDN,0
251,IDN,PHL,160859
252,IDN,BGD,38339
253,IDN,THA,239830
254,IDN,VNM,136008
255,IDN,KHM,6856
256,IDN,MMR,23810
257,IDN,AFR,187891
258,IDN,EUR,1090014
259,IDN,ELT,143732
260,IDN,WLT,17995
261,IDN,MDE,285831
262,IDN,NAM,1014938
263,IDN,OCE,217823
264,PHL,JPN,730832
265,PHL,LKA,2051
266,PHL,HKG,130076
267,PHL,CHN,327425
268,PHL,SGP,111486
269,PHL,MYS,93050
270,PHL,KOR,199115
271,PHL,IND,18518
272,PHL,OAS,86288
273,PHL,PAK,4124
274,PHL,IDN,73216
275,PHL,PHL,0
276,PHL,BGD,809
277,PHL,THA,124376
278,PHL,VNM,50910
279,PHL,KHM,656
280,PHL,MMR,2424
281,PHL,AFR,49447
282,PHL,EUR,469291
283,PHL,ELT,24500
284,PHL,WLT,2797
285,PHL,MDE,61540
286,PHL,NAM,634829
287,PHL,OCE,42501
288,BGD,JPN,37652
289,BGD,LKA,3594
290,BGD,HKG,49879
291,BGD,CHN,44750
292,BGD,SGP,12124
293,BGD,MYS,10532
294,BGD,KOR,22769
295,BGD,IND,31102
296,BGD,OAS,6998
297,BGD,PAK,2712
298,BGD,IDN,3785
299,BGD,PHL,3343
300,BGD,BGD,0
301,BGD,THA,2963
302,BGD,VNM,7435
303,BGD,KHM,7
304,BGD,MMR,16
305,BGD,AFR,9668
306,BGD,EUR,187885
307,BGD,ELT,4349
308,BGD,WLT,350
309,BGD,MDE,74493
310,BGD,NAM,53217
311,BGD,OCE,2953
312,THA,JPN,300139
313,THA,LKA,7328
314,THA,HKG,160558
315,THA,CHN,479539
316,THA,SGP,103885
317,THA,MYS,159161
318,THA,KOR,67541
319,THA,IND,74819
320,THA,OAS,50639
321,THA,PAK,19648
322,THA,IDN,162212
323,THA,PHL,68855
324,THA,BGD,15520
325,THA,THA,0
326,THA,VNM,117356
327,THA,KHM,44678
328,THA,MMR,48328
329,THA,AFR,127605
330,THA,EUR,484386
331,THA,ELT,76863
332,THA,WLT,24560
333,THA,MDE,183783
334,THA,NAM,380349
335,THA,OCE,202678
336,VNM,JPN,355743
337,VNM,LKA,5146
338,VNM,HKG,137627
339,VNM,CHN,494873
340,VNM,SGP,91133
341,VNM,MYS,124276
342,VNM,KOR,166885
343,VNM,IND,71012
344,VNM,OAS,83555
345,VNM,PAK,7920
346,VNM,IDN,75005
347,VNM,PHL,61093
348,VNM,BGD,5048
349,VNM,THA,81478
350,VNM,VNM,0
351,VNM,KHM,43130
352,VNM,MMR,5060
353,VNM,AFR,91254
354,VNM,EUR,939032
355,VNM,ELT,69558
356,VNM,WLT,10614
357,VNM,MDE,144338
358,VNM,NAM,724046
359,VNM,OCE,74402
360,KHM,JPN,3335
361,KHM,LKA,6
362,KHM,HKG,1345
363,KHM,CHN,7957
364,KHM,SGP,1082
365,KHM,MYS,2589
366,KHM,KOR,1700
367,KHM,IND,149
368,KHM,OAS,281
369,KHM,PAK,4
370,KHM,IDN,286
371,KHM,PHL,447
372,KHM,BGD,19
373,KHM,THA,6132
374,KHM,VNM,3601
375,KHM,KHM,0
376,KHM,MMR,5
377,KHM,AFR,1244
378,KHM,EUR,13068
379,KHM,ELT,414
380,KHM,WLT,13
381,KHM,MDE,94
382,KHM,NAM,8033
383,KHM,OCE,315
384,MMR,JPN,23890
385,MMR,LKA,0
386,MMR,HKG,5125
387,MMR,CHN,61049
388,MMR,SGP,16273
389,MMR,MYS,6157
390,MMR,KOR,8819
391,MMR,IND,15053
392,MMR,OAS,20
393,MMR,PAK,176
394,MMR,IDN,1055
395,MMR,PHL,159
396,MMR,BGD,1053
397,MMR,THA,23477
398,MMR,VNM,2443
399,MMR,KHM,5
400,MMR,MMR,0
401,MMR,AFR,144
402,MMR,EUR,4815
403,MMR,ELT,417
404,MMR,WLT,3
405,MMR,MDE,2117
406,MMR,NAM,626
407,MMR,OCE,589
408,AFR,JPN,211647
409,AFR,LKA,1907
410,AFR,HKG,104708
411,AFR,CHN,826756
412,AFR,SGP,92638
413,AFR,MYS,83617
414,AFR,KOR,61864
415,AFR,IND,232576
416,AFR,OAS,36831
417,AFR,PAK,30536
418,AFR,IDN,89242
419,AFR,PHL,7988
420,AFR,BGD,20010
421,AFR,THA,53737
422,AFR,VNM,57757
423,AFR,KHM,181
424,AFR,MMR,135
425,AFR,AFR,0
426,AFR,EUR,2469808
427,AFR,ELT,111517
428,AFR,WLT,0
429,AFR,MDE,397769
430,AFR,NAM,547986
431,AFR,OCE,0
432,EUR,JPN,1187179
433,EUR,LKA,33362
434,EUR,HKG,1104724
435,EUR,CHN,4208480
436,EUR,SGP,445253
437,EUR,MYS,232158
438,EUR,KOR,738113
439,EUR,IND,810830
440,EUR,OAS,269459
441,EUR,PAK,84568
442,EUR,IDN,234512
443,EUR,PHL,110693
444,EUR,BGD,40431
445,EUR,THA,284920
446,EUR,VNM,155690
447,EUR,KHM,5367
448,EUR,MMR,5682
449,EUR,AFR,1432417
450,EUR,EUR,0
451,EUR,ELT,1742900
452,EUR,WLT,3258
453,EUR,MDE,5083705
454,EUR,NAM,4158068
455,EUR,OCE,10788
456,ELT,JPN,888574
457,ELT,LKA,4622
458,ELT,HKG,257447
459,ELT,CHN,4353733
460,ELT,SGP,42836
461,ELT,MYS,155704
462,ELT,KOR,544170
463,ELT,IND,157206
464,ELT,OAS,230090
465,ELT,PAK,10829
466,ELT,IDN,168184
467,ELT,PHL,159252
468,ELT,BGD,57939
469,ELT,THA,141720
470,ELT,VNM,124668
471,ELT,KHM,3487
472,ELT,MMR,1092
473,ELT,AFR,324831
474,ELT,EUR,5885282
475,ELT,ELT,0
476,ELT,WLT,0
477,ELT,MDE,1479243
478,ELT,NAM,5485214
479,ELT,OCE,0
480,WLT,JPN,889348
481,WLT,LKA,1680
482,WLT,HKG,73746
483,WLT,CHN,2645123
484,WLT,SGP,17492
485,WLT,MYS,39438
486,WLT,KOR,559790
487,WLT,IND,193825
488,WLT,OAS,247781
489,WLT,PAK,6939
490,WLT,IDN,42497
491,WLT,PHL,16982
492,WLT,BGD,365
493,WLT,THA,68758
494,WLT,VNM,108172
495,WLT,KHM,13
496,WLT,MMR,14
497,WLT,AFR,0
498,WLT,EUR,35597
499,WLT,ELT,88
500,WLT,WLT,0
501,WLT,MDE,0
502,WLT,NAM,392972
503,WLT,OCE,164033
504,MDE,JPN,160411
505,MDE,LKA,32841
506,MDE,HKG,191388
507,MDE,CHN,2237437
508,MDE,SGP,531732
509,MDE,MYS,187964
510,MDE,KOR,257176
511,MDE,IND,1299718
512,MDE,OAS,261028
513,MDE,PAK,283971
514,MDE,IDN,153600
515,MDE,PHL,37132
516,MDE,BGD,79792
517,MDE,THA,178183
518,MDE,VNM,158451
519,MDE,KHM,1262
520,MDE,MMR,11887
521,MDE,AFR,1171351
522,MDE,EUR,7668827
523,MDE,ELT,561888
524,MDE,WLT,0
525,MDE,MDE,0
526,MDE,NAM,1787905
527,MDE,OCE,0
528,NAM,JPN,659945
529,NAM,LKA,6111
530,NAM,HKG,349878
531,NAM,CHN,1735464
532,NAM,SGP,100705
533,NAM,MYS,57507
534,NAM,KOR,435541
535,NAM,IND,130979
536,NAM,OAS,185433
537,NAM,PAK,17341
538,NAM,IDN,99959
539,NAM,PHL,74585
540,NAM,BGD,15103
541,NAM,THA,90269
542,NAM,VNM,99997
543,NAM,KHM,1775
544,NAM,MMR,577
545,NAM,AFR,135815
546,NAM,EUR,1831861
547,NAM,ELT,2329142
548,NAM,WLT,41151
549,NAM,MDE,455085
550,NAM,NAM,0
551,NAM,OCE,9306
552,OCE,JPN,738045
553,OCE,LKA,26925
554,OCE,HKG,294626
555,OCE,CHN,3527179
556,OCE,SGP,369433
557,OCE,MYS,277727
558,OCE,KOR,563364
559,OCE,IND,269137
560,OCE,OAS,230491
561,OCE,PAK,34929
562,OCE,IDN,348384
563,OCE,PHL,133957
564,OCE,BGD,34943
565,OCE,THA,307965
566,OCE,VNM,182806
567,OCE,KHM,2343
568,OCE,MMR,7388
569,OCE,AFR,0
570,OCE,EUR,52196
571,OCE,ELT,153
572,OCE,WLT,48577
573,OCE,MDE,0
574,OCE,NAM,52589
575,OCE,OCE,0
