,From,To,TEU
0,JPN,JPN,0
1,JPN,LKA,4686
2,JPN,HKG,497797
3,JPN,CHN,1405577
4,JPN,SGP,168837
5,JPN,MYS,152542
6,JPN,KOR,606216
7,JPN,IND,81157
8,JPN,OAS,509712
9,JPN,PAK,14214
10,JPN,IDN,170728
11,JPN,PHL,92856
12,JPN,BGD,14122
13,JPN,THA,393639
14,JPN,VNM,207844
15,JPN,KHM,6287
16,JPN,MMR,8811
17,JPN,AFR,73964
18,JPN,EUR,742385
19,JPN,ELT,115419
20,JPN,WLT,22640
21,JPN,MDE,182478
22,JPN,NAM,1011108
23,JPN,OCE,131554
24,LKA,JPN,93272
25,LKA,LKA,0
26,LKA,HKG,45396
27,LKA,CHN,46985
28,LKA,SGP,32879
29,LKA,MYS,17323
30,LKA,KOR,23449
31,LKA,IND,186907
32,LKA,OAS,14874
33,LKA,PAK,41075
34,LKA,IDN,16272
35,LKA,PHL,2716
36,LKA,BGD,24195
37,LKA,THA,15189
38,LKA,VNM,18268
39,LKA,KHM,1648
40,LKA,MMR,382
41,LKA,AFR,57119
42,LKA,EUR,1584533
43,LKA,ELT,57589
44,LKA,WLT,23207
45,LKA,MDE,400093
46,LKA,NAM,892961
47,LKA,OCE,78433
48,HKG,JPN,325709
49,HKG,LKA,9060
50,HKG,HKG,0
51,HKG,CHN,5800503
52,HKG,SGP,201122
53,HKG,MYS,63909
54,HKG,KOR,167291
55,HKG,IND,184412
56,HKG,OAS,249358
57,HKG,PAK,5093
58,HKG,IDN,55922
59,HKG,PHL,57567
60,HKG,BGD,17975
61,HKG,THA,132913
62,HKG,VNM,482804
63,HKG,KHM,10540
64,HKG,MMR,1419
65,HKG,AFR,34706
66,HKG,EUR,886942
67,HKG,ELT,65974
68,HKG,WLT,15516
69,HKG,MDE,121557
70,HKG,NAM,833078
71,HKG,OCE,153926
72,CHN,JPN,4154822
73,CHN,LKA,101214
74,CHN,HKG,7280229
75,CHN,CHN,0
76,CHN,SGP,22543507
77,CHN,MYS,13387258
78,CHN,KOR,5781835
79,CHN,IND,1045379
80,CHN,OAS,3608642
81,CHN,PAK,318345
82,CHN,IDN,1344945
83,CHN,PHL,1005145
84,CHN,BGD,259509
85,CHN,THA,1455423
86,CHN,VNM,1365753
87,CHN,KHM,68863
88,CHN,MMR,169687
89,CHN,AFR,4075021
90,CHN,EUR,30411628
91,CHN,ELT,3912552
92,CHN,WLT,1138893
93,CHN,MDE,4539082
94,CHN,NAM,24160709
95,CHN,OCE,1892163
96,SGP,JPN,351505
97,SGP,LKA,18066
98,SGP,HKG,392919
99,SGP,CHN,952607
100,SGP,SGP,0
101,SGP,MYS,752724
102,SGP,KOR,264546
103,SGP,IND,253995
104,SGP,OAS,209319
105,SGP,PAK,30950
106,SGP,IDN,757098
107,SGP,PHL,150488
108,SGP,BGD,42489
109,SGP,THA,343913
110,SGP,VNM,222300
111,SGP,KHM,17321
112,SGP,MMR,38466
113,SGP,AFR,109561
114,SGP,EUR,646329
115,SGP,ELT,277681
116,SGP,WLT,4847
117,SGP,MDE,150692
118,SGP,NAM,353502
119,SGP,OCE,299286
120,MYS,JPN,324624
121,MYS,LKA,16609
122,MYS,HKG,135334
123,MYS,CHN,634939
124,MYS,SGP,602349
125,MYS,MYS,0
126,MYS,KOR,137949
127,MYS,IND,176681
128,MYS,OAS,109057
129,MYS,PAK,41824
130,MYS,IDN,234527
131,MYS,PHL,84290
132,MYS,BGD,26297
133,MYS,THA,276671
134,MYS,VNM,119959
135,MYS,KHM,9407
136,MYS,MMR,16436
137,MYS,AFR,109960
138,MYS,EUR,567311
139,MYS,ELT,50854
140,MYS,WLT,7385
141,MYS,MDE,274720
142,MYS,NAM,397742
143,MYS,OCE,187055
144,KOR,JPN,762955
145,KOR,LKA,7934
146,KOR,HKG,219916
147,KOR,CHN,5781835
148,KOR,SGP,274037
149,KOR,MYS,128098
150,KOR,KOR,0
151,KOR,IND,221108
152,KOR,OAS,302881
153,KOR,PAK,20023
154,KOR,IDN,192688
155,KOR,PHL,108942
156,KOR,BGD,46421
157,KOR,THA,208265
158,KOR,VNM,376669
159,KOR,KHM,11915
160,KOR,MMR,26121
161,KOR,AFR,153789
162,KOR,EUR,1144784
163,KOR,ELT,224544
164,KOR,WLT,71260
165,KOR,MDE,397708
166,KOR,NAM,1029148
167,KOR,OCE,198977
168,IND,JPN,109090
169,IND,LKA,94960
170,IND,HKG,132395
171,IND,CHN,434852
172,IND,SGP,109060
173,IND,MYS,81854
174,IND,KOR,74922
175,IND,IND,0
176,IND,OAS,26304
177,IND,PAK,35580
178,IND,IDN,69411
179,IND,PHL,33211
180,IND,BGD,98015
181,IND,THA,82335
182,IND,VNM,162290
183,IND,KHM,1820
184,IND,MMR,8541
185,IND,AFR,342016
186,IND,EUR,1200514
187,IND,ELT,108094
188,IND,WLT,27172
189,IND,MDE,710956
190,IND,NAM,600720
191,IND,OCE,50457
192,OAS,JPN,621875
193,OAS,LKA,11088
194,OAS,HKG,557056
195,OAS,CHN,2449412
196,OAS,SGP,184048
197,OAS,MYS,163374
198,OAS,KOR,226066
199,OAS,IND,140839
200,OAS,OAS,0
201,OAS,PAK,16813
202,OAS,IDN,148654
203,OAS,PHL,102166
204,OAS,BGD,33444
