,Econ,TEU
0,JPN,20319000
1,LKA,5550000
2,HKG,19580000
3,CHN,197849000
4,SGP,31688000
5,MYS,24570000
6,KOR,26373000
7,IND,12083010
8,OAS,14865000
9,PAK,2755600
10,IDN,12431700
11,PHL,7421441
12,BGD,2366651
13,THA,9983000
14,VNM,11086140
15,KHM,482000
16,MMR,1026216
17,AFR,14975526
18,EUR,135974433
19,ELT,32003363
20,WLT,8367902
21,MDE,39416614
22,NAM,59834253
23,OCE,12319601
