,From,To,TEU
290,BGD,HKG,47080
291,BGD,CHN,35090
292,BGD,SGP,26635
293,BGD,MYS,6849
294,BGD,KOR,20346
295,BGD,IND,36591
296,BGD,OAS,6665
297,BGD,PAK,2479
298,BGD,IDN,1387
299,BGD,PHL,2801
300,BGD,BGD,0
301,BGD,THA,2167
302,BGD,VNM,5813
303,BGD,KHM,97
304,BGD,MMR,1304
305,BGD,AFR,7771
306,BGD,EUR,204403
307,BGD,ELT,3425
308,BGD,WLT,37
309,BGD,MDE,70269
310,BGD,NAM,60780
311,BGD,OCE,3482
312,THA,JPN,302274
313,THA,LKA,8072
314,THA,HKG,133403
315,THA,CHN,423549
316,THA,SGP,75586
317,THA,MYS,142690
318,THA,KOR,66225
319,THA,IND,73261
320,THA,OAS,48873
321,THA,PAK,17377
322,THA,IDN,147895
323,THA,PHL,51482
324,THA,BGD,14648
325,THA,THA,0
326,THA,VNM,104134
327,THA,KHM,39422
328,THA,MMR,38919
329,THA,AFR,115219
330,THA,EUR,434545
331,THA,ELT,60244
332,THA,WLT,16577
333,THA,MDE,148186
334,THA,NAM,323113
335,THA,OCE,142261
336,VNM,JPN,335926
337,VNM,LKA,4457
338,VNM,HKG,113104
339,VNM,CHN,451712
340,VNM,SGP,83541
341,VNM,MYS,115330
342,VNM,KOR,147148
343,VNM,IND,55679
344,VNM,OAS,82356
345,VNM,PAK,7266
346,VNM,IDN,87112
347,VNM,PHL,69803
348,VNM,BGD,3533
349,VNM,THA,69518
350,VNM,VNM,0
351,VNM,KHM,45166
352,VNM,MMR,1736
353,VNM,AFR,80692
354,VNM,EUR,871808
355,VNM,ELT,59338
356,VNM,WLT,14690
357,VNM,MDE,94389
358,VNM,NAM,639857
359,VNM,OCE,61118
360,KHM,JPN,2888
361,KHM,LKA,22
362,KHM,HKG,3225
363,KHM,CHN,3732
364,KHM,SGP,2683
365,KHM,MYS,2068
366,KHM,KOR,1853
367,KHM,IND,184
368,KHM,OAS,557
369,KHM,PAK,5
370,KHM,IDN,687
371,KHM,PHL,57
372,KHM,BGD,105
373,KHM,THA,6401
374,KHM,VNM,4392
375,KHM,KHM,0
376,KHM,MMR,5
377,KHM,AFR,593
378,KHM,EUR,10511
379,KHM,ELT,127
380,KHM,WLT,7
381,KHM,MDE,452
382,KHM,NAM,6428
383,KHM,OCE,264
384,MMR,JPN,15875
385,MMR,LKA,0
386,MMR,HKG,4407
387,MMR,CHN,48800
388,MMR,SGP,7779
389,MMR,MYS,18524
390,MMR,KOR,8190
391,MMR,IND,26014
392,MMR,OAS,0
393,MMR,PAK,655
394,MMR,IDN,615
395,MMR,PHL,551
396,MMR,BGD,451
397,MMR,THA,8791
398,MMR,VNM,2796
399,MMR,KHM,0
400,MMR,MMR,0
401,MMR,AFR,649
402,MMR,EUR,10397
403,MMR,ELT,345
404,MMR,WLT,0
405,MMR,MDE,4468
406,MMR,NAM,1192
407,MMR,OCE,377
408,AFR,JPN,242226
409,AFR,LKA,1824
410,AFR,HKG,66998
411,AFR,CHN,747768
412,AFR,SGP,102267
413,AFR,MYS,72965
414,AFR,KOR,63241
415,AFR,IND,240718
416,AFR,OAS,31181
417,AFR,PAK,15631
418,AFR,IDN,88796
419,AFR,PHL,6732
420,AFR,BGD,21818
421,AFR,THA,47190
422,AFR,VNM,43200
423,AFR,KHM,124
424,AFR,MMR,165
425,AFR,AFR,0
426,AFR,EUR,2249752
427,AFR,ELT,216583
428,AFR,WLT,0
429,AFR,MDE,251791
430,AFR,NAM,502040
431,AFR,OCE,0
432,EUR,JPN,1244295
433,EUR,LKA,33347
434,EUR,HKG,988709
435,EUR,CHN,4079057
436,EUR,SGP,393559
437,EUR,MYS,203553
438,EUR,KOR,714807
439,EUR,IND,841664
440,EUR,OAS,268285
441,EUR,PAK,80683
442,EUR,IDN,226409
443,EUR,PHL,93540
444,EUR,BGD,39158
445,EUR,THA,260081
446,EUR,VNM,136701
447,EUR,KHM,5211
448,EUR,MMR,3789
449,EUR,AFR,1418240
450,EUR,EUR,0
451,EUR,ELT,1714728
452,EUR,WLT,6882
453,EUR,MDE,5122163
454,EUR,NAM,4016650
455,EUR,OCE,13366
456,ELT,JPN,871514
457,ELT,LKA,4977
458,ELT,HKG,247007
459,ELT,CHN,3665223
460,ELT,SGP,44624
461,ELT,MYS,161863
462,ELT,KOR,563931
463,ELT,IND,175336
464,ELT,OAS,187628
465,ELT,PAK,8699
466,ELT,IDN,130406
467,ELT,PHL,130636
468,ELT,BGD,19297
469,ELT,THA,122299
470,ELT,VNM,80468
471,ELT,KHM,2616
472,ELT,MMR,300
473,ELT,AFR,354935
474,ELT,EUR,5653983
475,ELT,ELT,0
476,ELT,WLT,0
477,ELT,MDE,1370383
478,ELT,NAM,5123260
479,ELT,OCE,0
480,WLT,JPN,888609
481,WLT,LKA,1502
482,WLT,HKG,112393
483,WLT,CHN,2376473
484,WLT,SGP,21751
485,WLT,MYS,43028
486,WLT,KOR,508203
487,WLT,IND,138025
488,WLT,OAS,274933
489,WLT,PAK,4829
490,WLT,IDN,47744
491,WLT,PHL,14066
492,WLT,BGD,147
493,WLT,THA,62810
494,WLT,VNM,99550
495,WLT,KHM,0
496,WLT,MMR,0
497,WLT,AFR,0
498,WLT,EUR,36743
499,WLT,ELT,0
500,WLT,WLT,0
501,WLT,MDE,0
502,WLT,NAM,406295
503,WLT,OCE,198211
504,MDE,JPN,79952
505,MDE,LKA,38828
506,MDE,HKG,168948
507,MDE,CHN,1012673
508,MDE,SGP,549576
509,MDE,MYS,129025
510,MDE,KOR,121951
511,MDE,IND,905365
512,MDE,OAS,145026
513,MDE,PAK,233181
514,MDE,IDN,106133
515,MDE,PHL,37458
516,MDE,BGD,99562
517,MDE,THA,147952
518,MDE,VNM,148538
519,MDE,KHM,1278
520,MDE,MMR,11414
521,MDE,AFR,1199735
522,MDE,EUR,6233962
523,MDE,ELT,383772
524,MDE,WLT,0
525,MDE,MDE,0
526,MDE,NAM,1450068
527,MDE,OCE,0
528,NAM,JPN,779687
529,NAM,LKA,6939
530,NAM,HKG,354146
531,NAM,CHN,1968849
532,NAM,SGP,95949
533,NAM,MYS,55527
534,NAM,KOR,547678
535,NAM,IND,149706
536,NAM,OAS,200386
537,NAM,PAK,16637
538,NAM,IDN,86465
539,NAM,PHL,71033
540,NAM,BGD,12593
541,NAM,THA,88117
542,NAM,VNM,88758
543,NAM,KHM,1360
544,NAM,MMR,239
545,NAM,AFR,137312
546,NAM,EUR,2013109
547,NAM,ELT,2281467
548,NAM,WLT,34986
549,NAM,MDE,467431
550,NAM,NAM,0
551,NAM,OCE,24142
552,OCE,JPN,805711
553,OCE,LKA,30175
554,OCE,HKG,291928
555,OCE,CHN,2652388
556,OCE,SGP,340971
557,OCE,MYS,244443
558,OCE,KOR,483419
559,OCE,IND,299887
560,OCE,OAS,227410
561,OCE,PAK,43021
562,OCE,IDN,334187
563,OCE,PHL,153785
564,OCE,BGD,38431
565,OCE,THA,283822
566,OCE,VNM,140144
567,OCE,KHM,2410
568,OCE,MMR,5039
569,OCE,AFR,0
570,OCE,EUR,50370
571,OCE,ELT,190
572,OCE,WLT,54721
573,OCE,MDE,7
574,OCE,NAM,46320
575,OCE,OCE,0
