,From,To,TEU
0,JPN,JPN,0
1,JPN,LKA,4283
2,JPN,HKG,491849
3,JPN,CHN,1351350
4,JPN,SGP,162715
5,JPN,MYS,139685
6,JPN,KOR,589823
7,JPN,IND,78474
8,JPN,OAS,479168
9,JPN,PAK,13083
10,JPN,IDN,160558
11,JPN,PHL,91864
12,JPN,BGD,12544
13,JPN,THA,369139
14,JPN,VNM,192553
15,JPN,KHM,6933
16,JPN,MMR,5766
17,JPN,AFR,70289
18,JPN,EUR,740265
19,JPN,ELT,120413
20,JPN,WLT,16989
21,JPN,MDE,177597
22,JPN,NAM,949796
23,JPN,OCE,123351
24,LKA,JPN,105511
25,LKA,LKA,0
26,LKA,HKG,43013
27,LKA,CHN,42784
28,LKA,SGP,32111
29,LKA,MYS,30549
30,LKA,KOR,16221
31,LKA,IND,231993
32,LKA,OAS,13708
33,LKA,PAK,47153
34,LKA,IDN,59328
35,LKA,PHL,2985
36,LKA,BGD,21472
37,LKA,THA,20962
38,LKA,VNM,11248
39,LKA,KHM,1483
40,LKA,MMR,211
41,LKA,AFR,53016
42,LKA,EUR,1633124
43,LKA,ELT,41496
44,LKA,WLT,26216
45,LKA,MDE,452866
46,LKA,NAM,839168
47,LKA,OCE,71298
48,HKG,JPN,393959
49,HKG,LKA,9048
50,HKG,HKG,0
51,HKG,CHN,6015388
52,HKG,SGP,209915
53,HKG,MYS,74893
54,HKG,KOR,190832
55,HKG,IND,206229
56,HKG,OAS,285434
57,HKG,PAK,6120
58,HKG,IDN,62415
59,HKG,PHL,65044
60,HKG,BGD,18511
61,HKG,THA,125207
62,HKG,VNM,489724
63,HKG,KHM,12463
64,HKG,MMR,1186
65,HKG,AFR,37857
66,HKG,EUR,1004791
67,HKG,ELT,76756
68,HKG,WLT,17162
69,HKG,MDE,129134
70,HKG,NAM,956494
71,HKG,OCE,196717
72,CHN,JPN,3321624
73,CHN,LKA,113643
74,CHN,HKG,7377682
75,CHN,CHN,0
76,CHN,SGP,10338189
77,CHN,MYS,11227780
78,CHN,KOR,4232466
79,CHN,IND,1518240
80,CHN,OAS,1410338
81,CHN,PAK,298645
82,CHN,IDN,1683557
83,CHN,PHL,910147
84,CHN,BGD,214194
85,CHN,THA,1455608
86,CHN,VNM,1174081
87,CHN,KHM,66427
88,CHN,MMR,115610
89,CHN,AFR,4094206
90,CHN,EUR,28823429
91,CHN,ELT,5069476
92,CHN,WLT,1088863
93,CHN,MDE,4072118
94,CHN,NAM,22862194
95,CHN,OCE,2097490
96,SGP,JPN,278985
97,SGP,LKA,22519
98,SGP,HKG,384801
99,SGP,CHN,10338189
100,SGP,SGP,0
101,SGP,MYS,314712
102,SGP,KOR,826463
103,SGP,IND,262050
104,SGP,OAS,261014
105,SGP,PAK,36259
106,SGP,IDN,918788
107,SGP,PHL,143946
108,SGP,BGD,43788
109,SGP,THA,396774
110,SGP,VNM,219571
111,SGP,KHM,17804
112,SGP,MMR,33436
113,SGP,AFR,254850
114,SGP,EUR,1200616
115,SGP,ELT,647260
116,SGP,WLT,4261
117,SGP,MDE,177341
118,SGP,NAM,539907
119,SGP,OCE,448549
120,MYS,JPN,498751
121,MYS,LKA,21772
122,MYS,HKG,217926
123,MYS,CHN,1036002
124,MYS,SGP,784976
125,MYS,MYS,0
126,MYS,KOR,196205
127,MYS,IND,263707
128,MYS,OAS,145760
129,MYS,PAK,58666
130,MYS,IDN,366615
131,MYS,PHL,134466
132,MYS,BGD,37770
133,MYS,THA,398540
134,MYS,VNM,174295
135,MYS,KHM,12685
136,MYS,MMR,23745
137,MYS,AFR,155337
138,MYS,EUR,953807
139,MYS,ELT,104954
140,MYS,WLT,13226
141,MYS,MDE,338524
142,MYS,NAM,708270
143,MYS,OCE,259197
144,KOR,JPN,878440
145,KOR,LKA,8180
146,KOR,HKG,273506
147,KOR,CHN,4232466
148,KOR,SGP,246672
149,KOR,MYS,263493
150,KOR,KOR,0
151,KOR,IND,225305
152,KOR,OAS,308425
153,KOR,PAK,20765
154,KOR,IDN,192058
155,KOR,PHL,113569
156,KOR,BGD,47339
157,KOR,THA,202056
158,KOR,VNM,316239
159,KOR,KHM,11703
160,KOR,MMR,30518
161,KOR,AFR,187079
162,KOR,EUR,1420902
163,KOR,ELT,312070
164,KOR,WLT,94305
165,KOR,MDE,493762
166,KOR,NAM,1240411
167,KOR,OCE,234350
168,IND,JPN,92718
169,IND,LKA,77425
170,IND,HKG,101544
171,IND,CHN,452159
172,IND,SGP,104383
173,IND,MYS,66346
174,IND,KOR,47666
175,IND,IND,0
176,IND,OAS,21546
177,IND,PAK,23995
178,IND,IDN,72588
179,IND,PHL,25315
180,IND,BGD,82039
181,IND,THA,63825
182,IND,VNM,99995
183,IND,KHM,1585
184,IND,MMR,8599
185,IND,AFR,280870
186,IND,EUR,1002363
187,IND,ELT,93246
188,IND,WLT,26368
189,IND,MDE,525056
190,IND,NAM,515263
191,IND,OCE,49382
192,OAS,JPN,800234
193,OAS,LKA,11533
194,OAS,HKG,719246
195,OAS,CHN,3505364
196,OAS,SGP,201159
197,OAS,MYS,193751
198,OAS,KOR,273711
199,OAS,IND,159669
200,OAS,OAS,0
201,OAS,PAK,24991
202,OAS,IDN,166854
203,OAS,PHL,115521
204,OAS,BGD,33891
205,OAS,THA,246040
206,OAS,VNM,306996
207,OAS,KHM,20050
208,OAS,MMR,4914
209,OAS,AFR,75022
210,OAS,EUR,863299
211,OAS,ELT,140697
212,OAS,WLT,35610
213,OAS,MDE,164920
214,OAS,NAM,995207
215,OAS,OCE,176271
216,PAK,JPN,9684
217,PAK,LKA,22960
218,PAK,HKG,28428
219,PAK,CHN,91690
220,PAK,SGP,8138
221,PAK,MYS,21852
222,PAK,KOR,36858
223,PAK,IND,23773
224,PAK,OAS,5197
225,PAK,PAK,0
226,PAK,IDN,12377
227,PAK,PHL,12333
228,PAK,BGD,20453
229,PAK,THA,13341
230,PAK,VNM,33908
231,PAK,KHM,297
232,PAK,MMR,1436
233,PAK,AFR,96398
234,PAK,EUR,324883
235,PAK,ELT,12998
236,PAK,WLT,2170
237,PAK,MDE,286312
238,PAK,NAM,114119
239,PAK,OCE,10503
240,IDN,JPN,692392
241,IDN,LKA,12150
242,IDN,HKG,105295
243,IDN,CHN,649271
244,IDN,SGP,429763
245,IDN,MYS,251347
246,IDN,KOR,202365
247,IDN,IND,230946
248,IDN,OAS,86126
249,IDN,PAK,34363
250,IDN,IDN,0
251,IDN,PHL,124896
252,IDN,BGD,30411
253,IDN,THA,204617
254,IDN,VNM,101207
255,IDN,KHM,6278
256,IDN,MMR,13824
257,IDN,AFR,169497
258,IDN,EUR,956298
259,IDN,ELT,112028
260,IDN,WLT,12503
261,IDN,MDE,218157
262,IDN,NAM,781035
263,IDN,OCE,199233
264,PHL,JPN,650230
265,PHL,LKA,1954
266,PHL,HKG,188573
267,PHL,CHN,259533
268,PHL,SGP,153880
269,PHL,MYS,73351
270,PHL,KOR,168283
271,PHL,IND,19232
272,PHL,OAS,100527
273,PHL,PAK,6691
274,PHL,IDN,84172
275,PHL,PHL,0
276,PHL,BGD,5302
277,PHL,THA,188856
278,PHL,VNM,67861
279,PHL,KHM,821
280,PHL,MMR,726
281,PHL,AFR,16039
282,PHL,EUR,486551
283,PHL,ELT,16114
284,PHL,WLT,2685
285,PHL,MDE,60734
286,PHL,NAM,625563
287,PHL,OCE,42694
288,BGD,JPN,36501
289,BGD,LKA,3022
